iter	MultiClass
0	3.161518123
1	3.047217079
2	2.943388866
3	2.860280042
4	2.802182313
5	2.749625691
6	2.692806467
7	2.633435993
8	2.592218528
9	2.544329959
10	2.504947413
11	2.465392782
12	2.43648215
13	2.402533077
14	2.377758034
15	2.347017762
16	2.316984368
17	2.284165406
18	2.257487938
19	2.236667825
20	2.214552212
21	2.193079473
22	2.172160033
23	2.155315719
24	2.137988774
25	2.121700141
26	2.105877394
27	2.091316337
28	2.075808878
29	2.059125213
30	2.044835483
31	2.031345951
32	2.016674011
33	2.002961183
34	1.98826487
35	1.9759893
36	1.967055107
37	1.954983371
38	1.942507046
39	1.930186944
40	1.922425936
41	1.910925499
42	1.898500987
43	1.890468855
44	1.879810586
45	1.87117195
46	1.86106526
47	1.850663989
48	1.842254329
49	1.833120342
50	1.821515187
51	1.812502436
52	1.803319559
53	1.795692276
54	1.787525951
55	1.78146689
56	1.772461359
57	1.765417273
58	1.757984844
59	1.750104853
60	1.743466836
61	1.736211594
62	1.728231799
63	1.720842562
64	1.71521377
65	1.705893761
66	1.699828842
67	1.691716362
68	1.686156201
69	1.679681877
70	1.671728133
71	1.667848503
72	1.662162003
73	1.657000777
74	1.650417108
75	1.645556943
76	1.639339851
77	1.633634635
78	1.626974898
79	1.622787532
80	1.617474775
81	1.610939104
82	1.605727669
83	1.600382149
84	1.594498337
85	1.588893102
86	1.581896537
87	1.577304568
88	1.572145099
89	1.564970663
90	1.560426889
91	1.552435087
92	1.54784979
93	1.543755797
94	1.538902078
95	1.533503491
96	1.529325712
97	1.524601003
98	1.51831343
99	1.513531029
100	1.508297769
101	1.50435288
102	1.498431365
103	1.494371753
104	1.490288704
105	1.486445044
106	1.482992573
107	1.479261335
108	1.475726724
109	1.472574258
110	1.46804173
111	1.463586798
112	1.458763054
113	1.454999963
114	1.452298381
115	1.447951589
116	1.443371881
117	1.439241929
118	1.434047482
119	1.429064256
120	1.427265477
121	1.423499288
122	1.419692556
123	1.41684456
124	1.412779651
125	1.410307096
126	1.405449099
127	1.400150964
128	1.395708988
129	1.392766013
130	1.389090299
131	1.384870697
132	1.380904466
133	1.377009344
134	1.373485393
135	1.369445972
136	1.364536488
137	1.361641554
138	1.357308752
139	1.353196088
140	1.349026631
141	1.346007168
142	1.3423883
143	1.339692446
144	1.334842923
145	1.330715044
146	1.328114171
147	1.325376122
148	1.321295576
149	1.318444981
150	1.315676125
151	1.312504862
152	1.309469048
153	1.307094623
154	1.303697764
155	1.300166212
156	1.297341685
157	1.292723813
158	1.289479847
159	1.285397961
160	1.283225168
161	1.279262468
162	1.275466663
163	1.272446187
164	1.270221891
165	1.266421916
166	1.263618004
167	1.260849704
168	1.257407906
169	1.253808787
170	1.2487031
171	1.245623085
172	1.243992264
173	1.240457708
174	1.23755107
175	1.235618544
176	1.232733006
177	1.230503647
178	1.228797901
179	1.22685493
180	1.223220335
181	1.221502764
182	1.219333938
183	1.217534544
184	1.215221732
185	1.212542201
186	1.211035157
187	1.207157502
188	1.20406504
189	1.202052586
190	1.200378216
191	1.197406339
192	1.194378144
193	1.191137623
194	1.187574272
195	1.184534709
196	1.181505019
197	1.178156556
198	1.175036963
199	1.173455799
200	1.171379656
201	1.168150095
202	1.165807338
203	1.162872912
204	1.159162428
205	1.156332662
206	1.152485858
207	1.149835963
208	1.147327171
209	1.14419845
210	1.141837935
211	1.138534839
212	1.135319224
213	1.132232487
214	1.128971364
215	1.125507298
216	1.123446065
217	1.120702326
218	1.118334756
219	1.116946308
220	1.114445638
221	1.112177021
222	1.110860797
223	1.108310674
224	1.106089534
225	1.102871638
226	1.101109244
227	1.099430774
228	1.097292376
229	1.094644746
230	1.091673252
231	1.089034062
232	1.085970577
233	1.08452115
234	1.082878729
235	1.080833891
236	1.078687013
237	1.076019613
238	1.074194367
239	1.072129366
240	1.070090474
241	1.067884707
242	1.066210818
243	1.064333148
244	1.061656846
245	1.059693851
246	1.057528963
247	1.05524564
248	1.052415548
249	1.049543413
250	1.047248737
251	1.044509252
252	1.042477239
253	1.039510222
254	1.036409079
255	1.033442052
256	1.030910495
257	1.029423832
258	1.027267002
259	1.025297948
260	1.022816332
261	1.020867789
262	1.018726603
263	1.016263377
264	1.013416109
265	1.010003651
266	1.007831323
267	1.005309822
268	1.00294577
269	1.000906942
270	0.9981652564
271	0.9962632693
272	0.994453158
273	0.9917342161
274	0.9904448238
275	0.9880673567
276	0.9854996618
277	0.9836488712
278	0.9807230877
279	0.9795592883
280	0.9783572367
281	0.9764720014
282	0.9747875312
283	0.9736779175
284	0.972469299
285	0.9710503101
286	0.9692029558
287	0.9662439551
288	0.9653748696
289	0.9632991615
290	0.9615735074
291	0.9588830846
292	0.9570667804
293	0.9544131325
294	0.9518370251
295	0.9501446809
296	0.9489532554
297	0.947632769
298	0.9456814907
299	0.9429315087
300	0.9411186347
301	0.9400470993
302	0.9388014379
303	0.9371588427
304	0.9345004555
305	0.9330099727
306	0.9317004647
307	0.9295602541
308	0.9282612488
309	0.927151808
310	0.9264929756
311	0.9247409059
312	0.9235374548
313	0.921081302
314	0.919654375
315	0.9183391989
316	0.9168525122
317	0.9158746214
318	0.9133133938
319	0.9120210569
320	0.9091298319
321	0.9080420568
322	0.9062037519
323	0.9052304668
324	0.9037596192
325	0.9028426491
326	0.9007139545
327	0.8989424194
328	0.8975029114
329	0.8953885705
330	0.8941766374
331	0.8930483849
332	0.8917261756
333	0.8899653941
334	0.8883249155
335	0.8873017162
336	0.8859703003
337	0.8845164459
338	0.882324404
339	0.8800242667
340	0.8788149593
341	0.8761485681
342	0.8754793763
343	0.8743730618
344	0.8729250838
345	0.8709423693
346	0.8691324077
347	0.8673490858
348	0.8653511115
349	0.8640235736
350	0.8633769691
351	0.8610399942
352	0.8594571131
353	0.8583522251
354	0.8564451976
355	0.8547572701
356	0.8531519723
357	0.8511197842
358	0.8504007264
359	0.8485207083
360	0.8466849465
361	0.8456403652
362	0.8439694073
363	0.8414712264
364	0.8395200253
365	0.8379163609
366	0.8360637387
367	0.8342021403
368	0.8334277139
369	0.8320945959
370	0.8310015992
371	0.8300116588
372	0.8289619509
373	0.8272727766
374	0.8251173208
375	0.8240555363
376	0.8227961754
377	0.8210296913
378	0.8197682253
379	0.818669643
380	0.8180809194
381	0.8166829092
382	0.815230318
383	0.8137755046
384	0.8121039813
385	0.8112418721
386	0.8107065423
387	0.8094015644
388	0.8081611758
389	0.8066679943
390	0.8058601407
391	0.8045076008
392	0.8030557647
393	0.8017784111
394	0.8008521225
395	0.7996725985
396	0.7987312105
397	0.7976466303
398	0.7964002558
399	0.795313531
400	0.7942622084
401	0.7926571626
402	0.7915384997
403	0.7904564872
404	0.7895347409
405	0.7876544188
406	0.7863964486
407	0.7850161229
408	0.7830489127
409	0.7812293883
410	0.7802521111
411	0.7788065731
412	0.7775932985
413	0.7771873882
414	0.7753807617
415	0.7743191256
416	0.7729382493
417	0.7722599965
418	0.7706129164
419	0.7696622758
420	0.7680617198
421	0.7671101806
422	0.7655909865
423	0.764412831
424	0.7633662787
425	0.7615691359
426	0.7603661576
427	0.7594179688
428	0.7576212611
429	0.7564611939
430	0.7543903315
431	0.7535336689
432	0.7525510326
433	0.7514807574
434	0.7505997435
435	0.7499483939
436	0.749225419
437	0.7479175514
438	0.7466345043
439	0.7459904785
440	0.7450018411
441	0.7441106652
442	0.7432723431
443	0.7423891116
444	0.7415542718
445	0.7406285501
446	0.7393913587
447	0.7383991276
448	0.7375655348
449	0.735979937
450	0.7349887504
451	0.7343064837
452	0.7335469598
453	0.7325990298
454	0.7309649904
455	0.7291401792
456	0.7278085639
457	0.7266111596
458	0.7252159652
459	0.7241172903
460	0.7230870455
461	0.7220763298
462	0.7211813222
463	0.7199852362
464	0.7188715594
465	0.7183634507
466	0.7175968121
467	0.716613055
468	0.7153562155
469	0.7139722175
470	0.7129450868
471	0.7122615647
472	0.7106322858
473	0.7097146121
474	0.7092220806
475	0.7085797378
476	0.7076843332
477	0.7068052726
478	0.7054877822
479	0.7038990011
480	0.7029228862
481	0.7022112504
482	0.7007127325
483	0.6999168529
484	0.6990185911
485	0.6980405952
486	0.6969609685
487	0.6958987286
488	0.6952055718
489	0.6943630861
490	0.6934138096
491	0.6927410355
492	0.6919939507
493	0.6903906758
494	0.689195608
495	0.6887303507
496	0.6875138621
497	0.6867849696
498	0.6853676603
499	0.6846416647
500	0.683791298
501	0.6824065745
502	0.6811142971
503	0.6801184614
504	0.678982557
505	0.6777958943
506	0.6766068604
507	0.6759472072
508	0.6749955375
509	0.6744092096
510	0.6737097103
511	0.6723260957
512	0.6716565231
513	0.6707758381
514	0.6701318904
515	0.6690930195
516	0.6682352001
517	0.667461515
518	0.6664991837
519	0.6651786373
520	0.6645601675
521	0.6634185255
522	0.6625097138
523	0.6613845525
524	0.6605363303
525	0.6595308562
526	0.6582789799
527	0.657487641
528	0.6564436086
529	0.6555320075
530	0.6541796007
531	0.6533224734
532	0.6521158039
533	0.6511963274
534	0.6505514742
535	0.6500104928
536	0.6493610113
537	0.648560475
538	0.6473881129
539	0.6464671674
540	0.645555014
541	0.6446675345
542	0.6441140077
543	0.6437127727
544	0.6430180288
545	0.6423564699
546	0.6414335615
547	0.6406082911
548	0.6400499452
549	0.6394320251
