iter	Passed	Remaining
0	171	171734
1	191	95511
2	208	69293
3	225	56178
4	242	48232
5	259	42985
6	275	39045
7	290	36082
8	307	33838
9	323	32045
10	340	30609
11	355	29288
12	371	28185
13	389	27453
14	406	26677
15	422	26007
16	439	25440
17	456	24907
18	473	24453
19	489	24002
20	507	23638
21	522	23234
22	538	22873
23	553	22528
24	569	22212
25	586	21968
26	602	21708
27	618	21485
28	634	21260
29	651	21054
30	666	20829
31	682	20649
32	698	20470
33	714	20313
34	730	20138
35	746	20002
36	763	19863
37	782	19798
38	798	19681
39	814	19544
40	830	19429
41	846	19310
42	862	19185
43	877	19061
44	892	18945
45	909	18858
46	924	18746
47	939	18642
48	955	18538
49	970	18435
50	987	18376
51	1003	18299
52	1020	18237
53	1036	18159
54	1052	18087
55	1068	18017
56	1085	17955
57	1100	17866
58	1116	17800
59	1132	17742
60	1149	17692
61	1165	17629
62	1183	17595
63	1200	17552
64	1217	17507
65	1234	17473
66	1251	17425
67	1266	17364
68	1283	17318
69	1300	17273
70	1317	17241
71	1335	17206
72	1352	17173
73	1369	17132
74	1386	17103
75	1404	17069
76	1420	17032
77	1437	16990
78	1454	16951
79	1469	16900
80	1485	16855
81	1502	16817
82	1516	16759
83	1532	16711
84	1548	16664
85	1563	16613
86	1580	16586
87	1597	16551
88	1614	16521
89	1630	16482
90	1645	16433
91	1661	16393
92	1676	16353
93	1692	16312
94	1708	16274
95	1723	16232
96	1740	16206
97	1757	16173
98	1774	16151
99	1790	16111
100	1805	16074
101	1821	16032
102	1836	15995
103	1851	15954
104	1867	15920
105	1886	15907
106	1902	15880
107	1920	15860
108	1936	15827
109	1952	15798
110	1968	15769
111	1986	15748
112	2003	15725
113	2020	15701
114	2036	15670
115	2052	15640
116	2068	15608
117	2084	15582
118	2099	15543
119	2116	15520
120	2131	15482
121	2146	15449
122	2162	15417
123	2178	15386
124	2194	15363
125	2211	15339
126	2227	15308
127	2242	15279
128	2258	15250
129	2276	15234
130	2293	15211
131	2309	15188
132	2325	15157
133	2341	15132
134	2356	15101
135	2371	15068
136	2388	15046
137	2404	15021
138	2420	14996
139	2435	14959
140	2450	14930
